"",,Pelyia Kharana,213080707,,,0,235,235,,,
"",,Pelyia Kharana,213080708,,,0,163,163,,,
"",,Noor Wala Shumali,213080709,,,0,50,50,,,
192 Total,,,,,,0,1071,1071,0,2,2
193,"Government Girls Elementary School,Basti Malook",Chak No. 12/F,213080710,,,645,0,645,3,0,3
"",,Chak No. 12/F,213080711,,,627,0,627,,,
"",,Chak No. 12/F,213080712,,,426,0,426,,,
193 Total,,,,,,1698,0,1698,3,0,3
194,Basic Health Unit Basti Malook 12/F,Chak No. 12/F,213080713,,,630,0,630,3,0,3
"",,Chak No. 12/F,213080714,,,563,0,563,,,
"",,Chak No. 12/F,213080715,,,295,0,295,,,
194 Total,,,,,,1488,0,1488,3,0,3
195,Basic Health Unit Basti Malook 12/F,Chak No. 12/F,213080713,,,0,523,523,0,2,2
"",,Chak No. 12/F,213080714,,,0,434,434,,,
"",,Chak No. 12/F,213080715,,,0,242,242,,,
195 Total,,,,,,0,1199,1199,0,2,2
196,"Government Girls Elementary School,Basti Malook",Chak No. 12/F,213080716,,,147,136,283,2,2,4
"",,Chak No. 12/F,213080717,,,428,398,826,,,
"",,Chak No. 12/F,213080718,,,365,292,657,,,
196 Total,,,,,,940,826,1766,2,2,4
197,"Government Boys High School BastiMalook",Chak No. 12/F,213080719,,,319,258,577,2,2,4
"",,Chak No. 12/F,213080720,,,626,574,1200,,,
197 Total,,,,,,945,832,1777,2,2,4
198,"Government Girls Middle School Chak14/F",Roshan Ray Wala,213080801,,,382,0,382,3,0,3
"",,Chak No. 14/F,213080802,,,539,0,539,,,
"",,Chak No. 14/F,213080803,,,377,0,377,,,
"",,Chak No. 14/F,213080804,,,225,0,225,,,
"",,Thakur Wala,213080811,,,87,0,87,,,
198 Total,,,,,,1610,0,1610,3,0,3
199,"Government Elementary School Chak14/F",Roshan Ray Wala,213080801,,,0,343,343,0,3,3
"",,Chak No. 14/F,213080802,,,0,469,469,,,
"",,Chak No. 14/F,213080803,,,0,344,344,,,
"",,Chak No. 14/F,213080804,,,0,169,169,,,
"",,Thakur Wala,213080811,,,0,76,76,,,
199 Total,,,,,,0,1401,1401,0,3,3
200,"Government Girls Primary School No.2Gulzar",Gulzar II,213080805,,,410,331,741,2,2,4
Gulzar II,213080812,,,159,162,321,,,,,
Gulzar II,213080806,,,309,204,513,,,,,
Gulzar II,213080807,,,150,94,244,,,,,
201,"Government Boys Primary School No.1Gulzar",Gulzar I,213080808,,,230,180,410,2,2,4
"",Gulzar I,213080809,,,298,202,500,,,,
"",Gulzar I,213080810,,,352,348,700,,,,
201 Total,,,,,,880,730,1610,2,2,4
202,Government Primary School Rukan Abad,Jungle Faiz Pur,213080901,,,399,286,685,2,2,4
"",Jungle Faiz Pur,213080907,,,361,258,619,,,,
"",Rukan Abad,213080902,,,227,181,408,,,,
202 Total,,,,,,987,725,1712,2,2,4
203,"Government Girls Primary School Chak1/F Shumali",Chak No. 1/F,213080903,,,602,505,1107,2,2,4
"",Chak No. 1/F,213080904,,,473,385,858,,,,
203 Total,,,,,,1075,890,1965,2,2,4
204,"Government Girls Primary School Chak1/F Shumali",Chak No. 1/F,213080905,,,642,546,1188,2,2,4
"",Chak No. 1/F,213080906,,,334,254,588,,,,
204 Total,,,,,,976,800,1776,2,2,4
205,"Government Boys Primary School 15/FMultan Saddar",Chak No. 15/F,213081001,,,461,323,784,2,2,4
"",Chak No. 15/F,213081002,,,487,407,894,,,,
"",Chak No. 15/F,213081003,,,179,117,296,,,,
205 Total,,,,,,1127,847,1974,2,2,4
206,"Government Elementary SchoolMakhdoom Pur",Faiz Allah Pur,213081101,,,198,0,198,3,0,3
"",Makhdoom Pur,213081102,,,321,0,321,,,,
"",Makhdoom Pur,213081103,,,612,0,612,,,,
"",Chak No. 6/F,213081104,,,472,0,472,,,,
206 Total,,,,,,1603,0,1603,3,0,3
207,"Government Girls Elementary SchoolMakhdoom Pur",Faiz Allah Pur,213081101,,,0,152,152,0,2,2
"",Makhdoom Pur,213081102,,,0,245,245,,,,
"",Makhdoom Pur,213081103,,,0,484,484,,,,
"",Chak No. 6/F,213081104,,,0,381,381,,,,
207 Total,,,,,,0,1262,1262,0,2,2
208,"Government Boys Primary SchoolMangay Hatti",Mangay Hatti,213081201,,,255,264,519,2,2,4
"",Mangay Hatti,213081202,,,376,298,674,,,,
"",Mangay Hatti,213081203,,,218,230,448,,,,
208 Total,,,,,,849,792,1641,2,2,4
209,"Government Boys Middle School, 7-F",Shah Kot,213081204,,,274,209,483,1,1,2
"",Shah Kot,213081205,,,355,317,672,,,,
209 Total,,,,,,629,526,1155,1,1,2
210,"Government Girls Primary School JungleRang Ali",Shah Kot,213081206,,,162,112,274,2,1,3
"",Jungle Rang Ali Wala,213081207,,,297,250,547,,,,
"",Jungle Rang Ali Wala,213081208,,,204,165,369,,,,
210 Total,,,,,,663,527,1190,2,1,3
211,"Government Boys Primary School GopalPur",Gopal Pur,213070301,,,221,0,221,4,0,4
"",Gopal Pur,213070302,,,558,0,558,,,,
"",Gopal Pur,213070303,,,409,0,409,,,,
"",Norang Abad,213070304,,,398,0,398,,,,
"",Syed Pur,213070305,,,304,0,304,,,,
"",Syed Pur,213070306,,,196,0,196,,,,
211 Total,,,,,,2086,0,2086,4,0,4
212,"Government Boys Primary School GopalPur",Gopal Pur,213070301,,,0,137,137,0,4,4
Gopal Pur,213070302,,,0,540,540,,,,,
Gopal Pur,213070303,,,0,335,335,,,,,
Norang Abad,213070304,,,0,299,299,,,,,
Syed Pur,213070305,,,0,243,243,,,,,
Syed Pur,213070306,,,0,176,176,,,,,
213,"Government Boys Primary School KabirPur",Kabir Pur,213070401,,,686,537,1223,2,1,3
"",,Kabir Pur,213070402,,,17,11,28,,,
213 Total,,,,,,703,548,1251,2,1,3
214,"Government Boys Primary School ZainPur",Zain Pur,213070405,,,577,470,1047,2,2,4
"",,Zain Pur,213070406,,,407,362,769,,,
214 Total,,,,,,984,832,1816,2,2,4
215,Government Boys High School Lar,Lar,213070501,,,499,0,499,4,0,4
"",,Lar,213070504,,,852,0,852,,,
"",,Lar,213070505,,,422,0,422,,,
215 Total,,,,,,1773,0,1773,4,0,4
216,"Government Boys High School, Lar",Lar,213070502,,,289,209,498,2,2,4
"",,Lar,213070503,,,194,141,335,,,
"",,Lar,213070510,,,97,91,188,,,
"",,Lar,213070514,,,319,251,570,,,
216 Total,,,,,,899,692,1591,2,2,4
217,"Government Girls High School, Lar",Lar,213070506,,,265,0,265,3,0,3
"",,Lar,213070507,,,521,0,521,,,
"",,Lar,213070508,,,314,0,314,,,
"",,Lar,213070509,,,344,0,344,,,
217 Total,,,,,,1444,0,1444,3,0,3
218,"Government Girls High School, Lar",Lar,213070506,,,0,207,207,0,2,2
"",,Lar,213070507,,,0,460,460,,,
"",,Lar,213070508,,,0,259,259,,,
"",,Lar,213070509,,,0,298,298,,,
218 Total,,,,,,0,1224,1224,0,2,2
219,Government Boys High School Lar,Lar,213070511,,,428,0,428,2,0,2
"",,Lar,213070512,,,494,0,494,,,
"",,Lar,213070513,,,366,0,366,,,
219 Total,,,,,,1288,0,1288,2,0,2
220,"Government Boys Primary School BaqirPur",Baqir Pur,213070601,,,226,260,486,1,1,2
"",,Baqir Pur,213070602,,,327,243,570,,,
220 Total,,,,,,553,503,1056,1,1,2
221,"Government Boys Primary School Jampur",Jam Pur,213070605,,,305,257,562,2,2,4
"",,Jam Pur,213070606,,,220,192,412,,,
"",,Jam Pur,213070607,,,613,518,1131,,,
221 Total,,,,,,1138,967,2105,2,2,4
222,"Government Boys Primary School Ameerpur",Jahangeer Abad,213070608,,,316,273,589,2,2,4
"",,Ameer Pur,213070609,,,385,314,699,,,
"",,Ameer Pur,213070610,,,404,309,713,,,
222 Total,,,,,,1105,896,2001,2,2,4
223,"Government Boys Primary School, JhokGamun",Jhok Gammu,213070701,,,402,0,402,2,0,2
"",,Jhok Gammu,213070702,,,457,0,457,,,
"",,Jhok Gammu,213070703,,,206,0,206,,,
"",,Jhok Gammu,213070704,,,200,0,200,,,
223 Total,,,,,,1265,0,1265,2,0,2
224,"Government Boys Primary School JhokGamun",Jhok Gammu,213070701,,,0,371,371,0,2,2
"",,Jhok Gammu,213070702,,,0,421,421,,,
"",,Jhok Gammu,213070703,,,0,196,196,,,
"",,Jhok Gammu,213070704,,,0,153,153,,,
224 Total,,,,,,0,1141,1141,0,2,2
225,"Government Girls Primary School, ChahTahli Wala, Chak 8-Faiz",Chak No. 8/F,213070705,,,549,444,993,1,1,2
226,"Government Boys High School QasbaAwal",Qasba Awal,213070801,,,681,567,1248,2,2,4
"",,Qasba Awal,213070802,,,453,312,765,,,
226 Total,,,,,,1134,879,2013,2,2,4
227,"Government Boys High School QasbaAwal",Qasba Awal,213070803,,,423,0,423,4,0,4
"",,Qasba Awal,213070804,,,375,0,375,,,
"",,Qasba Awal,213070805,,,401,0,401,,,
"",,Qasba Awal,213070806,,,543,0,543,,,
"",,Qasba Awal,213070807,,,535,0,535,,,
227 Total,,,,,,2277,0,2277,4,0,4
228,"Government Boys High School QasbaAwal",Qasba Awal,213070803,,,0,377,377,0,4,4
"",,Qasba Awal,213070804,,,0,351,351,,,
"",,Qasba Awal,213070805,,,0,71,71,,,
"",,Qasba Awal,213070806,,,0,408,408,,,
"",,Qasba Awal,213070807,,,0,616,616,,,
228 Total,,,,,,0,1823,1823,0,4,4
229,"Government Boys High School QasbaAwal",Qasba Awal,213070809,,,545,443,988,2,2,4
"",,Qasba Awal,213070814,,,569,506,1075,,,
229 Total,,,,,,1114,949,2063,2,2,4
230,"Government Boys High School QasbaAwal",Qasba Awal,213070808,,,372,291,663,2,1,3
"",,Qasba Awal,213070812,,,320,276,596,,,
230 Total,,,,,,692,567,1259,2,1,3
231,"Government Girls Primary School, ShakirWala",Qasba Sani,213070901,,,822,0,822,2,0,2
"",,Qasba Sani,213070902,,,375,0,375,,,
231 Total,,,,,,1197,0,1197,2,0,2
232,"Government Girls Primary School ShakirWala",Qasba Sani,213070903,,,499,436,935,1,1,2
232 Total,,,,,,499,436,935,1,1,2
233,"Government Boys Primary SchoolRamzan Wala",Qasba Sani,213070906,,,359,0,359,3,0,3
"",,Qasba Sani,213070907,,,356,0,356,,,
"",,Qasba Sani,213070908,,,467,0,467,,,
"",,Qasba Sani,213070909,,,413,0,413,,,
233 Total,,,,,,1595,0,1595,3,0,3
234,"Government Boys Primary School,Ramzan Wala",Qasba Sani,213070906,,,0,312,312,0,3,3
"",,Qasba Sani,213070907,,,0,250,250,,,
"",,Qasba Sani,213070908,,,0,387,387,,,
"",,Qasba Sani,213070909,,,0,361,361,,,
234 Total,,,,,,0,1310,1310,0,3,3
235,"Government Boys Primary School,Ramzan Wala",Qasba Sani,213070910,,,471,347,818,1,1,2
"",,Qasba Sani,213070911,,,126,103,229,,,
235 Total,,,,,,597,450,1047,1,1,2
236,"Government Girls Elementary School, Tail",Qasba Salas,213071001,,,460,0,460,3,0,3
"",,Qasba Salas,213071002,,,461,0,461,,,
"",,Qasba Salas,213071003,,,371,0,371,,,
"",,Qasba Salas,213071004,,,324,0,324,,,
236 Total,,,,,,1616,0,1616,3,0,3
237,"Government Girls Elementary School, Tail",Qasba Salas,213071001,,,0,356,356,0,2,2
"",,Qasba Salas,213071002,,,0,351,351,,,
"",,Qasba Salas,213071003,,,0,297,297,,,
"",,Qasba Salas,213071004,,,0,268,268,,,
237 Total,,,,,,0,1272,1272,0,2,2
Qasba Chahram,213071101,,,410,0,410,,,,,
Qasba Chahram,213071102,,,328,0,328,,,,,
"",,Qasba Chahram,213071104,,,664,0,664,,,
238 Total,,,,,,1722,0,1722,4,0,4
239,"Government Boys Primary School AzizWala",Qasba Chahram,213071101,,,0,302,302,0,3,3
"",,Qasba Chahram,213071102,,,0,291,291,,,
"",,Qasba Chahram,213071103,,,0,228,228,,,
"",,Qasba Chahram,213071104,,,0,521,521,,,
239 Total,,,,,,0,1342,1342,0,3,3
240,"Government Boys Middle School,Chadhar",Chader,213071201,,,400,0,400,4,0,4
"",,Chader,213071202,,,376,0,376,,,
"",,Chader,213071203,,,218,0,218,,,
"",,Chader,213071204,,,399,0,399,,,
"",,Chader,213071207,,,154,0,154,,,
"",,Chader,213071208,,,369,0,369,,,
240 Total,,,,,,1916,0,1916,4,0,4
241,"Government Boys Middle School,Chadhar",Chader,213071201,,,0,298,298,0,3,3
"",,Chader,213071202,,,0,291,291,,,
"",,Chader,213071203,,,0,180,180,,,
"",,Chader,213071204,,,0,340,340,,,
"",,Chader,213071207,,,0,148,148,,,
"",,Chader,213071208,,,0,274,274,,,
241 Total,,,,,,0,1531,1531,0,3,3
242,"Government Girls Primary School,Chadhar",Chader,213071205,,,894,0,894,4,0,4
"",,Chader,213071206,,,141,0,141,,,
"",,Chader,213071209,,,408,0,408,,,
"",,Chader,213071210,,,375,0,375,,,
242 Total,,,,,,1818,0,1818,4,0,4
243,"Government Girls Primary School,Chadhar",Chader,213071205,,,0,654,654,0,3,3
"",,Chader,213071206,,,0,112,112,,,
"",,Chader,213071209,,,0,273,273,,,
"",,Chader,213071210,,,0,263,263,,,
243 Total,,,,,,0,1302,1302,0,3,3
244,"1, Government Boys Primary SchoolGhazanfar Abad",,,Mohallah Khawajgan,215060103,181,0,181,2,0,2
"",,,,Mohallah Khawajgan,215060107,636,0,636,,,
244 Total,,,,,,817,0,817,2,0,2
245,"34, Government Girls Degree CollegeSbujabad",Merali Wahin,215010105,,,0,192,192,0,3,3
"",,Merali Wahin,215010106,,,0,355,355,,,
"",,Merali Wahin,215010107,,,0,302,302,,,
"",,Merali Wahin,215010116,,,0,410,410,,,
"",,Merali Wahin,215010117,,,0,229,229,,,
245 Total,,,,,,0,1488,1488,0,3,3
246,"37, Government Girls Primary SchoolMochi pura",Mouchi Pura,215010202,,,0,380,380,0,2,2
"",,Mouchi Pura,215010203,,,0,303,303,,,
"",,Mouchi Pura,215010204,,,0,513,513,,,
246 Total,,,,,,0,1196,1196,0,2,2
247,"39, Government Boys High School Pounta",Ponta,215010301,,,0,122,122,0,2,2
"",,Ponta,215010302,,,0,368,368,,,
"",,Ponta,215010308,,,0,72,72,,,
"",,Ponta,215010303,,,0,463,463,,,
"",,Ponta,215010304,,,0,273,273,,,
247 Total,,,,,,0,1298,1298,0,2,2
Soman,215010402,,,0,407,407,,,,,
Soman,215010403,,,0,343,343,,,,,
"",,Soman,215010406,,,0,293,293,,,
248 Total,,,,,,0,1207,1207,0,2,2
249,"47, Basic Health Unit toder Pur",Toder Pur,215010509,,,283,0,283,2,0,2
"",,Toder Pur,215010510,,,262,0,262,,,
"",,Toder Pur,215010511,,,551,0,551,,,
249 Total,,,,,,1096,0,1096,2,0,2
250,"51, Government High School, Chak R.S",Chak R.S,215010603,,,339,271,610,2,1,3
"",,Chak R.S,215010605,,,344,257,601,,,
250 Total,,,,,,683,528,1211,2,1,3
251,"52, Government High School, Chak R.S",Chak R.S,215010608,,,181,141,322,1,1,2
"",,Chak R.S,215010609,,,367,326,693,,,
251 Total,,,,,,548,467,1015,1,1,2
252,"54, Basic Health Unit Khan pur Qazian",Khan Pur,215020102,,,703,587,1290,2,1,3
252 Total,,,,,,703,587,1290,2,1,3
253,"59, Government Primary School Daira PurNO.2",Daira Pur,215020203,,,480,395,875,1,1,2
253 Total,,,,,,480,395,875,1,1,2
254,"77, Government Girls Primary School,Basti Khuja",Khoja,215020506,,,580,484,1064,2,2,4
"",,Khoja,215020507,,,322,228,550,,,
254 Total,,,,,,902,712,1614,2,2,4
255,"84, Government Girls Primary SchoolMazoor Abad No.1",Gajju Hatta,215030107,,,0,173,173,0,2,2
"",,Gajju Hatta,215030108,,,0,301,301,,,
"",,Gajju Hatta,215030109,,,0,765,765,,,
255 Total,,,,,,0,1239,1239,0,2,2
256,"86, Government Girls Primary School,Marah",Agar Khani,215030205,,,125,133,258,1,1,2
"",,Agar Khani,215030206,,,419,329,748,,,
256 Total,,,,,,544,462,1006,1,1,2
257,"90, Government Boys Primary SchoolBhobat Wala",Bangala,215030305,,,257,241,498,1,1,2
"",,Bangala,215030306,,,243,195,438,,,
257 Total,,,,,,500,436,936,1,1,2
258,"93, Government Girls Elementary SchoolBangala",Gardez Pur,215030407,,,295,233,528,1,1,2
"",,Gardez Pur,215030408,,,296,253,549,,,
258 Total,,,,,,591,486,1077,1,1,2
259,"105, Government Boys Primary School,Bagrain",Jhanghi,215030606,,,0,612,612,0,2,2
"",,Jhanghi,215030612,,,0,204,204,,,
"",,Jhanghi,215030607,,,0,256,256,,,
259 Total,,,,,,0,1072,1072,0,2,2
260,"108, Government Girls Middle SchoolAgar Khani Merhram Basti",Rukan Hatti,215030702,,,0,485,485,0,2,2
"",,Rukan Hatti,215030703,,,0,273,273,,,
"",,Rukan Hatti,215030704,,,0,400,400,,,
260 Total,,,,,,0,1158,1158,0,2,2
261,"111, Government Boys Primary SchoolWahi Ruki",Wahi Rukki,215030803,,,259,219,478,1,1,2
"",,Shah Pur Ubah,215030817,,,242,225,467,,,
261 Total,,,,,,501,444,945,1,1,2
262,"112, Government Boys Primary SchoolShah pur Ubbah",Shah Pur Ubah,215030805,,,343,325,668,2,1,3
"",,Shah Pur Ubah,215030806,,,425,323,748,,,
262 Total,,,,,,768,648,1416,2,1,3
263,"113, Government Boys Middle School,Shah Pur Ubah",Shah Pur Ubah,215030810,,,303,0,303,2,0,2
Shah Pur Ubah,215030811,,,307,0,307,,,,,
Shah Pur Ubah,215030812,,,433,0,433,,,,,
Shah Pur Ubah,215030822,,,145,0,145,,,,,
264,"116, Government Girls Primary School,Wahi Bhakar",Shah Pur Ubah,215030815,,,0,495,495,0,2,2
"",,Shah Pur Ubah,215030816,,,0,541,541,,,
264 Total,,,,,,0,1036,1036,0,2,2
265,"120, Government Boys High School RajaRam (Higher Portion)",Raja Ram,215040108,,,329,0,329,2,0,2
"",,Raja Ram,215040109,,,435,0,435,,,
"",,Raja Ram,215040110,,,490,0,490,,,
265 Total,,,,,,1254,0,1254,2,0,2
266,"121, Government Girls High School RajaRam",Raja Ram,215040108,,,0,303,303,0,2,2
"",,Raja Ram,215040109,,,0,349,349,,,
"",,Raja Ram,215040110,,,0,453,453,,,
266 Total,,,,,,0,1105,1105,0,2,2
267,"130, Government Girls ElementarySchool Mubbarak Pur",Mubarak Pur,213080107,,,652,0,652,2,0,2
"",,Mubarak Pur,213080108,,,201,0,201,,,
267 Total,,,,,,853,0,853,2,0,2
268,"133, Government Girls Primary SchoolTarraghar",Trager,213080204,,,658,546,1204,2,1,3
268 Total,,,,,,658,546,1204,2,1,3
269,"140, Government Boys Primary SchoolPeer Tannu",Peer Tenhu,213080311,,,400,0,400,2,0,2
"",,Peer Tenhu,213080312,,,249,0,249,,,
"",,Peer Tenhu,213080313,,,548,0,548,,,
269 Total,,,,,,1197,0,1197,2,0,2
270,"157, Government Girls ElementarySchool, Basti Malook",Chak No. 12/F,213080710,,,0,537,537,0,3,3
"",,Chak No. 12/F,213080711,,,0,515,515,,,
"",,Chak No. 12/F,213080712,,,0,321,321,,,
270 Total,,,,,,0,1373,1373,0,3,3
271,"173, Government Boys Middle School, 7-F",Chak No. 7/F,213081209,,,249,185,434,2,1,3
"",,Chak No. 7/F,213081210,,,432,328,760,,,
271 Total,,,,,,681,513,1194,2,1,3
272,"177, Government Boys Primary SchoolKabir Pur",Kabir Pur,213070403,,,541,439,980,1,1,2
"",,Kabir Pur,213070404,,,7,8,15,,,
272 Total,,,,,,548,447,995,1,1,2
273,"179, Government Boys High School Lar",Lar,213070501,,,0,406,406,0,3,3
"",,Lar,213070504,,,0,465,465,,,
"",,Lar,213070505,,,0,542,542,,,
273 Total,,,,,,0,1413,1413,0,3,3
274,"183, Government Boys High School Lar",Lar,213070511,,,0,368,368,0,2,2
"",,Lar,213070512,,,0,401,401,,,
"",,Lar,213070513,,,0,290,290,,,
274 Total,,,,,,0,1059,1059,0,2,2
275,"184, Government Boys Primary SchoolBaqir Pur",Baqir Pur,213070603,,,254,186,440,2,1,3
"",,Baqir Pur,213070604,,,428,352,780,,,
275 Total,,,,,,682,538,1220,2,1,3
276,"193, Government Boys High SchoolQasba Awal",Qasba Awal,213070810,,,207,238,445,2,1,3
"",,Qasba Awal,213070811,,,448,387,835,,,
276 Total,,,,,,655,625,1280,2,1,3
277,"194, Union Council Office Qasba Maral",Qasba Awal,213070813,,,252,228,480,1,1,2
277 Total,,,,,,252,228,480,1,1,2
278,"118-Government Elementary SchoolChak Sardar pur",Shah Pur Ubah,215030820,,,0,662,662,0,2,2
"",,Shah Pur Ubah,215030821,,,0,513,513,,,
278 Total,,,,,,0,1175,1175,0,2,2
Qadir Pur Lar,213080307,,,426,336,762,,,,,
279 Total,,,,,,840,627,1467,2,1,3
280,"195-Government Girls Primary School,Shakir Wala",Qasba Sani,213070901,,,0,706,706,0,2,2
"",,Qasba Sani,213070902,,,0,311,311,,,
280 Total,,,,,,0,1017,1017,0,2,2
281,"196-Government Girls Primary SchoolShakir Wala",Qasba Sani,213070904,,,287,245,532,2,1,3
"",,Qasba Sani,213070905,,,407,289,696,,,
281 Total,,,,,,694,534,1228,2,1,3
282,Government High School Allahabad,Wahi Bukher,215040901,,,676,0,676,3,0,3
"",,Wahi Bukher,215040902,,,292,0,292,,,
"",,Wahi Bukher,215040903,,,560,0,560,,,
282 Total,,,,,,1528,0,1528,3,0,3
283,"Government Girls Elementary School,Allahabad",Wahi Bukher,215040901,,,0,524,524,0,2,2
"",,Wahi Bukher,215040902,,,0,255,255,,,
"",,Wahi Bukher,215040903,,,0,475,475,,,
283 Total,,,,,,0,1254,1254,0,2,2
284,"Government Boys Primary School, KoreyWala",Wahi Bukher,215040906,,,257,170,427,1,1,2
"",,Wahi Noon,215040907,,,131,100,231,,,
284 Total,,,,,,388,270,658,1,1,2
285,"125, Government High School Allahabad",Wahi Bukher,215040904,,,322,0,322,2,0,2
"",,Wahi Bukher,215040905,,,514,0,514,,,
285 Total,,,,,,836,0,836,2,0,2
286,"126, Government Girls ElementarySchool, Allahabad",Wahi Bukher,215040904,,,0,295,295,0,2,2
"",,Wahi Bukher,215040905,,,0,426,426,,,
286 Total,,,,,,0,721,721,0,2,2
287,"Government Boys Primary School, WahiSawaya",Wahi Sawaya,215041101,,,244,218,462,2,1,3
"",,Wahi Sawaya,215041102,,,446,380,826,,,
287 Total,,,,,,690,598,1288,2,1,3
288,"Government Boys Middle School, GhaibiJhakar",Jhakkar,215041103,,,375,295,670,2,0,2
"",,Jhakkar,215041109,,,198,165,363,,,
"",,Jhakkar,215041104,,,226,191,417,,,
288 Total,,,,,,799,651,1450,2,0,2
289,"Government Girls Primary School, WirdWala",Jhakkar,215041106,,,527,428,955,2,1,3
"",,Jhakkar,215041107,,,238,205,443,,,
289 Total,,,,,,765,633,1398,2,1,3
290,"Government Girls Primary School, ChakNo. 13/F",13/F,215041201,,,500,454,954,2,2,4
"",,13/F,215041202,,,462,368,830,,,
290 Total,,,,,,962,822,1784,2,2,4
291,"Government Basic Health Unit, KotliNajabat",Kotli Najabat,215041301,,,485,421,906,1,1,2
291 Total,,,,,,485,421,906,1,1,2
292,"Government Boys Primary School, BolayWala",Kotli Najabat,215041303,,,501,416,917,1,1,2
292 Total,,,,,,501,416,917,1,1,2
293,"Government Boys High School, KotliNajabat",Kotli Najabat,215041305,,,545,485,1030,2,2,4
"",,Kotli Najabat,215041306,,,423,377,800,,,
293 Total,,,,,,968,862,1830,2,2,4
294,"Union Council Office No. 104 KotliNajabat",Kotli Najabat,215041307,,,863,774,1637,2,2,4
294 Total,,,,,,863,774,1637,2,2,4
295,"Government Girls High School, KotliNajabat",Kotli Najabat,215041308,,,563,523,1086,1,1,2
295 Total,,,,,,563,523,1086,1,1,2
"",Jhakar,Jhakkar,215041108,,,186,180,366,,,
296 Total,,,,,,352,300,652,1,1,2
297,"Government Basic Health Unit, KotliNajabat",Kotli Najabat,215041302,,,283,235,518,2,1,3
"",,Kotli Najabat,215041309,,,412,287,699,,,
297 Total,,,,,,695,522,1217,2,1,3
298,"Government Boys Primary School, BolayWala",Kotli Najabat,215041304,,,970,844,1814,2,2,4
298 Total,,,,,,970,844,1814,2,2,4
"",,,In Case of Rural Areas,In Case of Urban Areas,No. of Voters assigned to Polling Station,Number of Polling Booths,,,,,,
"",Sr. No,No. and Name of Polling Station,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total
"",1,2,3,4,5,6,7,8,9,10,11,12
1,"Government Boys Primary School,Chak Jalalpur",Jalalpur Khakhi,215050201,,,170,159,329,1,1,2,
"",,Jalalpur Khakhi,215050213,,,413,368,781,,,,
1 Total,,,,,,583,527,1110,1,1,2,
